score	n	ineditismo	poder	familias	datasets_sugeridos
0.833	4	0.83	5487	agropecuaria+conectividade+mobilidade+vigilancia_sinan	br_ibge_ppm, br_anatel_banda_larga_fixa, br_mobilidados_indicadores, br_ms_sinan_violencia
0.833	4	0.83	5487	agropecuaria+educacao+mobilidade+vigilancia_sinan	br_ibge_ppm, br_inep_saeb, br_mobilidados_indicadores, br_ms_sinan_violencia
0.833	4	0.83	5487	agropecuaria+fiscal_municipal+mobilidade+vigilancia_sinan	br_ibge_ppm, br_rf_arrecadacao, br_mobilidados_indicadores, br_ms_sinan_violencia
0.833	4	0.83	5487	agropecuaria+fundiario+mobilidade+vigilancia_sinan	br_ibge_ppm, br_sfb_sicar, br_mobilidados_indicadores, br_ms_sinan_violencia
0.833	4	0.83	5487	agropecuaria+fundiario+politica+vigilancia_sinan	br_ibge_ppm, br_sfb_sicar, br_tse_eleicoes, br_ms_sinan_violencia
0.833	4	0.83	5487	agropecuaria+mobilidade+saude_producao+vigilancia_sinan	br_ibge_ppm, br_mobilidados_indicadores, br_ms_cnes, br_ms_sinan_violencia
0.833	4	0.83	5487	conectividade+fundiario+mobilidade+vigilancia_sinan	br_anatel_banda_larga_fixa, br_sfb_sicar, br_mobilidados_indicadores, br_ms_sinan_violencia
0.833	4	0.83	5487	credito_financeiro+mobilidade+politica+vigilancia_sinan	br_bcb_sicor, br_mobilidados_indicadores, br_tse_eleicoes, br_ms_sinan_violencia
0.833	4	0.83	5487	desmatamento_clima+fiscal_municipal+mobilidade+vigilancia_sinan	br_inpe_sisam, br_rf_arrecadacao, br_mobilidados_indicadores, br_ms_sinan_violencia
0.833	4	0.83	5487	desmatamento_clima+mobilidade+politica+vigilancia_sinan	br_inpe_sisam, br_mobilidados_indicadores, br_tse_eleicoes, br_ms_sinan_violencia
0.833	4	0.83	5487	educacao+fundiario+mobilidade+vigilancia_sinan	br_inep_saeb, br_sfb_sicar, br_mobilidados_indicadores, br_ms_sinan_violencia
0.833	4	0.83	5487	fiscal_municipal+fundiario+politica+vigilancia_sinan	br_rf_arrecadacao, br_sfb_sicar, br_tse_eleicoes, br_ms_sinan_violencia
0.833	4	0.83	5487	fiscal_municipal+mobilidade+politica+vigilancia_sinan	br_rf_arrecadacao, br_mobilidados_indicadores, br_tse_eleicoes, br_ms_sinan_violencia
0.833	4	0.83	5487	fundiario+mobilidade+saneamento_agua+vigilancia_sinan	br_sfb_sicar, br_mobilidados_indicadores, br_ana_outorgas, br_ms_sinan_violencia
0.833	4	0.83	5487	fundiario+mobilidade+transferencia_renda+vigilancia_sinan	br_sfb_sicar, br_mobilidados_indicadores, br_mc_indicadores, br_ms_sinan_violencia
0.833	4	0.83	5487	fundiario+politica+saneamento_agua+vigilancia_sinan	br_sfb_sicar, br_tse_eleicoes, br_ana_outorgas, br_ms_sinan_violencia
0.833	4	0.83	5487	mobilidade+politica+saneamento_agua+vigilancia_sinan	br_mobilidados_indicadores, br_tse_eleicoes, br_ana_outorgas, br_ms_sinan_violencia
