n	familias	poder_min_municipios	coberta_por
3	fundiario+politica+trabalho_empresa	5559	
3	fundiario+politica+transferencia_renda	5559	
3	fundiario+saneamento_agua+saude_producao	5559	
3	fundiario+saneamento_agua+trabalho_empresa	5559	
3	fundiario+saneamento_agua+transferencia_renda	5559	
3	fundiario+saude_producao+trabalho_empresa	5559	
3	fundiario+saude_producao+transferencia_renda	5559	
3	fundiario+trabalho_empresa+transferencia_renda	5559	
3	agropecuaria+conectividade+mobilidade	5544	
3	agropecuaria+demografia_censo+mobilidade	5544	
3	agropecuaria+desmatamento_clima+mobilidade	5544	
3	agropecuaria+educacao+mobilidade	5544	
3	agropecuaria+fiscal_municipal+mobilidade	5544	
3	agropecuaria+fundiario+mobilidade	5544	
3	agropecuaria+mobilidade+mortalidade	5544	
3	agropecuaria+mobilidade+politica	5544	
3	agropecuaria+mobilidade+saneamento_agua	5544	
3	agropecuaria+mobilidade+saude_producao	5544	
3	agropecuaria+mobilidade+trabalho_empresa	5544	
3	agropecuaria+mobilidade+transferencia_renda	5544	
3	conectividade+demografia_censo+mobilidade	5544	
3	conectividade+desmatamento_clima+mobilidade	5544	
3	conectividade+educacao+mobilidade	5544	
3	conectividade+fiscal_municipal+mobilidade	5544	
3	conectividade+fundiario+mobilidade	5544	
3	conectividade+mobilidade+mortalidade	5544	
3	conectividade+mobilidade+politica	5544	
3	conectividade+mobilidade+saneamento_agua	5544	
3	conectividade+mobilidade+saude_producao	5544	
3	conectividade+mobilidade+trabalho_empresa	5544	
3	conectividade+mobilidade+transferencia_renda	5544	
3	demografia_censo+desmatamento_clima+mobilidade	5544	
3	demografia_censo+educacao+mobilidade	5544	
3	demografia_censo+fiscal_municipal+mobilidade	5544	
3	demografia_censo+fundiario+mobilidade	5544	
3	demografia_censo+mobilidade+mortalidade	5544	P35-3
3	demografia_censo+mobilidade+politica	5544	
3	demografia_censo+mobilidade+saneamento_agua	5544	
3	demografia_censo+mobilidade+saude_producao	5544	
3	demografia_censo+mobilidade+trabalho_empresa	5544	P35-1
3	demografia_censo+mobilidade+transferencia_renda	5544	
3	desmatamento_clima+educacao+mobilidade	5544	
3	desmatamento_clima+fiscal_municipal+mobilidade	5544	
3	desmatamento_clima+fundiario+mobilidade	5544	
3	desmatamento_clima+mobilidade+mortalidade	5544	
3	desmatamento_clima+mobilidade+politica	5544	
3	desmatamento_clima+mobilidade+saneamento_agua	5544	
3	desmatamento_clima+mobilidade+saude_producao	5544	
3	desmatamento_clima+mobilidade+trabalho_empresa	5544	
